Customer_ID,Gender,Age,L_O_S,Tariff,Handset
"K104690","女",48,47.866667,"CAT 100","S50"
"K104700","女",27,44.500000,"CAT 100","S50"
"K104720","男",39,24.900000,"CAT 100","S80"
"K104730","女",27,33.966667,"CAT 100","ASAD170"
"K104740","男",30,48.733333,"CAT 100","S80"
"K104760","男",29,42.900000,"CAT 100","ASAD170"
"K104780","女",52,36.366667,"CAT 100","S50"
"K104800","女",34,49.600000,"CAT 100","S80"
"K104810","男",53,13.433333,"CAT 100","S80"
"K104820","女",28,28.933333,"CAT 100","S50"
"K104830","男",63,19.500000,"CAT 100","S80"
"K104840","男",39,12.500000,"CAT 100","S80"
"K104850","女",34,27.666667,"CAT 100","S50"
"K104860","女",45,31.333333,"CAT 100","S50"
"K104870","男",47,23.066667,"CAT 100","ASAD170"
"K104890","男",28,10.833333,"CAT 100","ASAD170"
"K104900","男",46,32.500000,"CAT 100","S50"
"K104910","男",33,9.933333,"CAT 100","S80"
"K104920","女",38,42.100000,"CAT 100","ASAD170"
"K104930","女",40,35.866667,"CAT 100","ASAD170"
"K104940","男",31,43.166667,"CAT 100","S50"
"K104950","女",27,28.266667,"CAT 100","ASAD170"
"K104960","男",30,34.966667,"CAT 100","S80"
"K104970","男",50,10.466667,"CAT 100","ASAD170"
"K104980","男",48,33.433333,"CAT 100","S50"
"K104990","男",41,18.700000,"CAT 100","S50"
"K105010","男",36,46.033333,"CAT 100","ASAD170"
"K105020","男",31,17.000000,"CAT 100","S80"
"K105030","男",72,27.400000,"CAT 100","S50"
"K105040","女",41,46.133333,"CAT 100","ASAD170"
"K105050","女",40,12.400000,"CAT 100","S80"
"K105060","男",52,11.133333,"CAT 100","ASAD170"
"K105070","女",47,13.333333,"CAT 100","S50"
"K105100","男",65,15.733333,"CAT 100","S50"
"K105110","女",31,16.400000,"CAT 100","ASAD90"
"K105120","女",41,23.933333,"CAT 100","S50"
"K105130","女",32,34.966667,"CAT 100","S50"
"K105140","女",27,50.433333,"CAT 100","S80"
"K105160","男",44,24.600000,"CAT 100","S50"
"K105170","男",32,49.066667,"CAT 100","S80"
"K105180","男",35,41.933333,"CAT 100","S80"
"K105190","男",33,19.466667,"CAT 100","ASAD170"
"K105200","女",35,24.000000,"CAT 100","ASAD90"
"K105220","男",34,13.866667,"CAT 100","ASAD170"
"K105240","女",33,19.866667,"CAT 100","S80"
"K105260","男",30,11.666667,"CAT 100","S80"
"K105270","女",54,47.566667,"CAT 100","ASAD170"
"K105290","男",32,48.266667,"CAT 100","S50"
"K105320","男",27,44.400000,"CAT 100","S80"
"K105330","女",42,37.133333,"CAT 100","S50"
"K105340","男",49,25.066667,"CAT 100","S80"
"K105350","女",32,15.166667,"CAT 100","ASAD170"
"K105370","男",30,48.933333,"CAT 100","ASAD90"
"K105380","男",54,17.633333,"CAT 100","ASAD170"
"K105390","女",51,36.166667,"CAT 100","ASAD170"
"K105410","女",36,32.600000,"CAT 100","S80"
"K105420","男",27,18.866667,"CAT 100","ASAD170"
"K105450","女",35,26.933333,"CAT 100","ASAD170"
"K105470","女",60,35.066667,"CAT 100","S80"
"K105480","女",52,18.000000,"CAT 100","ASAD170"
"K105490","女",42,49.000000,"CAT 100","S80"
"K105510","女",38,57.066667,"CAT 100","S80"
"K105520","女",64,38.700000,"CAT 100","ASAD170"
"K105530","男",51,49.433333,"CAT 100","S80"
"K105540","男",26,25.166667,"CAT 100","S50"
"K105550","女",34,10.100000,"CAT 100","S80"
"K105570","女",65,28.933333,"CAT 100","S50"
"K105580","女",37,46.966667,"CAT 100","S80"
"K105590","男",34,30.266667,"CAT 100","ASAD170"
"K105600","女",29,57.000000,"CAT 100","S80"
"K105610","男",29,45.766667,"CAT 100","S50"
"K105620","女",43,11.233333,"CAT 100","S50"
"K105630","女",60,16.533333,"CAT 100","S80"
"K105650","女",30,25.133333,"CAT 100","S50"
"K105670","男",42,53.933333,"CAT 100","ASAD170"
"K105690","男",36,24.533333,"CAT 100","ASAD170"
"K105700","男",33,37.100000,"CAT 100","ASAD170"
"K105750","男",38,42.900000,"CAT 100","S80"
"K105760","女",38,27.000000,"CAT 100","S80"
"K105770","女",49,44.733333,"CAT 100","S80"
"K105790","男",37,36.066667,"CAT 100","S80"
"K105800","男",30,42.900000,"CAT 100","ASAD170"
"K105810","女",26,30.866667,"CAT 100","ASAD170"
"K105820","男",27,39.166667,"CAT 100","S80"
"K105830","女",30,11.666667,"CAT 100","S50"
"K105850","女",33,24.333333,"CAT 100","ASAD170"
"K105860","女",34,54.333333,"CAT 100","ASAD170"
"K105870","男",30,9.733333,"CAT 100","S80"
"K105880","女",30,45.333333,"CAT 100","ASAD170"
"K105900","男",47,43.400000,"CAT 100","ASAD170"
"K105910","女",29,17.333333,"CAT 100","S50"
"K105920","男",33,28.366667,"CAT 100","S50"
"K105930","男",31,51.300000,"CAT 100","S50"
"K105940","女",27,27.966667,"CAT 100","S80"
"K105950","男",29,35.900000,"CAT 100","ASAD170"
"K105960","男",32,15.066667,"CAT 100","ASAD170"
"K105970","男",39,43.266667,"CAT 100","S80"
"K105980","男",29,20.366667,"CAT 100","S80"
"K105990","女",31,46.666667,"CAT 100","S80"
"K106000","男",46,21.366667,"CAT 100","ASAD170"
"K106010","女",30,16.366667,"CAT 100","S50"
"K106020","女",29,15.166667,"CAT 100","ASAD170"
"K106030","女",28,31.366667,"CAT 100","ASAD170"
"K106040","女",36,25.900000,"CAT 100","ASAD170"
"K106070","女",43,36.366667,"CAT 100","S50"
"K106080","男",40,37.166667,"CAT 100","S80"
"K106110","男",28,47.666667,"CAT 100","S50"
"K106120","男",33,15.933333,"CAT 100","S50"
"K106130","女",36,52.900000,"CAT 100","S80"
"K106140","男",43,21.233333,"CAT 100","S80"
"K106150","男",33,13.366667,"CAT 100","ASAD170"
"K106160","女",28,40.100000,"CAT 100","ASAD170"
"K106170","男",27,22.866667,"CAT 100","S80"
"K106180","男",44,13.766667,"CAT 100","S80"
"K106190","男",68,26.800000,"CAT 100","S50"
"K106200","男",50,14.033333,"CAT 100","S80"
"K106210","女",30,32.300000,"CAT 100","ASAD170"
"K106230","女",45,31.400000,"CAT 100","S50"
"K106240","女",43,56.100000,"CAT 100","S80"
"K106260","男",43,32.533333,"CAT 100","S50"
"K106270","男",27,39.333333,"CAT 100","ASAD170"
"K106290","男",38,23.900000,"CAT 100","S80"
"K106300","男",34,23.466667,"CAT 100","S50"
"K106310","男",30,45.933333,"CAT 100","ASAD90"
"K106320","男",48,17.900000,"CAT 100","S80"
"K106350","男",36,54.866667,"CAT 100","ASAD170"
"K106360","男",31,51.000000,"CAT 100","S80"
"K106370","男",27,13.400000,"CAT 100","ASAD90"
"K106390","男",63,20.566667,"CAT 100","S80"
"K106400","女",34,25.033333,"CAT 100","ASAD170"
"K106410","女",27,51.900000,"CAT 100","ASAD170"
"K106420","女",28,45.166667,"CAT 100","ASAD170"
"K106430","男",38,56.066667,"CAT 100","ASAD170"
"K106440","女",40,12.100000,"CAT 100","S50"
"K106450","女",31,35.333333,"CAT 100","S80"
"K106470","男",30,29.100000,"CAT 100","S80"
"K106480","男",60,20.266667,"CAT 100","S80"
"K106490","男",28,51.866667,"CAT 100","S50"
"K106510","男",32,42.366667,"CAT 100","S80"
"K106520","女",30,15.633333,"CAT 100","ASAD90"
"K106530","女",42,49.900000,"CAT 100","ASAD170"
"K106540","女",30,56.900000,"CAT 100","S50"
"K106550","男",31,52.366667,"CAT 100","S80"
"K106560","男",36,41.233333,"CAT 100","S50"
"K106570","女",43,11.233333,"CAT 100","S50"
"K106610","男",33,29.533333,"CAT 100","ASAD170"
"K106620","女",34,12.733333,"CAT 100","ASAD170"
"K106630","女",38,29.166667,"CAT 100","S50"
"K106640","男",42,24.266667,"CAT 100","ASAD170"
"K106660","女",27,50.333333,"CAT 100","S50"
"K106690","男",32,29.266667,"CAT 100","ASAD170"
"K106720","男",64,21.633333,"CAT 100","S50"
"K106730","女",38,16.800000,"CAT 100","ASAD170"
"K106750","男",26,53.533333,"CAT 100","S80"
"K106770","男",45,33.100000,"CAT 100","S50"
"K106780","女",27,21.133333,"CAT 100","ASAD170"
"K106800","男",38,57.566667,"CAT 100","S80"
"K106810","女",46,11.166667,"CAT 100","ASAD170"
"K106820","男",38,11.433333,"CAT 100","ASAD90"
"K106830","女",27,58.000000,"CAT 100","ASAD170"
"K106840","女",35,53.100000,"CAT 100","ASAD90"
"K106850","男",30,31.733333,"CAT 100","S50"
"K106880","男",35,34.733333,"CAT 100","S80"
"K106890","男",40,16.133333,"CAT 100","ASAD170"
"K106900","女",29,51.733333,"CAT 100","S80"
"K106920","女",27,53.433333,"CAT 100","S80"
"K106930","女",30,56.433333,"CAT 100","S50"
"K106940","女",47,39.266667,"CAT 100","S50"
"K106950","女",51,11.066667,"CAT 100","ASAD170"
"K106960","女",39,57.666667,"CAT 100","S50"
"K106970","男",35,22.700000,"CAT 100","S50"
"K106990","男",30,52.866667,"CAT 100","S50"
"K107000","女",52,43.366667,"CAT 100","S80"
"K107020","女",43,42.200000,"CAT 100","S50"
"K107050","女",45,30.400000,"CAT 100","S80"
"K107060","女",31,51.933333,"CAT 100","S50"
"K107070","女",51,10.200000,"CAT 100","S50"
"K107090","男",37,25.366667,"CAT 100","S80"
"K107120","男",30,38.833333,"CAT 100","ASAD170"
"K107140","男",44,25.700000,"CAT 100","S80"
"K107160","男",48,10.933333,"CAT 100","ASAD170"
"K107190","男",72,45.000000,"CAT 100","S50"
"K107200","男",36,9.733333,"CAT 100","S50"
"K107210","女",31,20.033333,"CAT 100","S80"
"K107220","男",31,28.766667,"CAT 100","ASAD170"
"K107230","男",52,35.100000,"CAT 100","S50"
"K107240","男",31,31.700000,"CAT 100","ASAD170"
"K107250","男",68,51.633333,"CAT 100","S80"
"K107260","女",41,46.000000,"CAT 100","S50"
"K107270","女",38,11.966667,"CAT 100","S80"
"K107290","女",28,31.000000,"CAT 100","S80"
"K107300","女",43,52.633333,"CAT 100","S50"
"K107330","女",38,43.700000,"CAT 100","ASAD170"
"K107360","女",52,45.233333,"CAT 100","S80"
"K107370","男",33,32.533333,"CAT 100","S50"
"K107380","男",68,56.633333,"CAT 100","ASAD170"
"K107390","男",32,45.666667,"CAT 100","ASAD170"
"K107400","女",35,26.433333,"CAT 100","ASAD90"
"K107420","男",33,21.933333,"CAT 100","ASAD170"
"K107430","女",32,52.966667,"CAT 100","ASAD90"
"K107440","女",31,44.633333,"CAT 100","S80"
"K107450","女",51,36.500000,"CAT 100","S50"
"K107470","女",28,28.800000,"CAT 100","S80"
"K107480","男",28,31.666667,"CAT 100","ASAD170"
"K107490","男",36,18.866667,"CAT 100","S80"
"K107500","男",56,28.200000,"CAT 100","S80"
"K107510","女",39,17.766667,"CAT 100","S50"
"K107530","男",27,33.166667,"CAT 100","S50"
"K107560","男",40,49.033333,"CAT 100","S50"
"K107570","女",50,49.966667,"CAT 100","ASAD170"
"K107580","男",43,10.533333,"CAT 100","ASAD170"
"K107590","女",38,14.300000,"CAT 100","S80"
"K107620","男",29,12.166667,"CAT 100","S80"
"K107630","男",36,15.533333,"CAT 100","S80"
"K107640","男",52,41.333333,"CAT 100","S80"
"K107660","男",52,11.000000,"CAT 100","S80"
"K107670","男",43,26.300000,"CAT 100","S80"
"K107680","女",28,50.500000,"CAT 100","S50"
"K107700","男",28,38.966667,"CAT 100","ASAD170"
"K107720","男",30,31.533333,"CAT 100","S80"
"K107730","男",42,23.600000,"CAT 100","S50"
"K107740","男",27,47.633333,"CAT 100","ASAD170"
"K107770","女",27,54.833333,"CAT 100","ASAD170"
"K107780","女",39,52.333333,"CAT 100","S80"
"K107810","女",26,13.500000,"CAT 100","ASAD170"
"K107820","女",28,13.500000,"CAT 100","S50"
"K107830","女",31,34.766667,"CAT 100","S50"
"K107840","女",45,41.366667,"CAT 100","S80"
"K107850","女",46,20.400000,"CAT 100","S80"
"K107860","男",44,11.733333,"CAT 100","ASAD170"
"K107870","男",28,28.400000,"CAT 100","S50"
"K107880","男",46,16.000000,"CAT 100","ASAD90"
"K107890","男",34,32.100000,"CAT 100","S80"
"K107910","女",46,42.966667,"CAT 100","S80"
"K107920","女",47,30.566667,"CAT 100","S50"
"K107930","男",33,25.166667,"CAT 100","ASAD170"
"K107960","女",35,20.800000,"CAT 100","S50"
"K107970","女",28,35.900000,"CAT 100","S80"
"K107980","男",35,54.666667,"CAT 100","S50"
"K107990","男",34,14.233333,"CAT 100","ASAD170"
"K108000","男",59,41.000000,"CAT 100","S80"
"K108010","女",33,37.700000,"CAT 100","S50"
"K108020","女",29,56.300000,"CAT 100","S80"
"K108030","男",42,35.433333,"CAT 100","ASAD170"
"K108040","男",42,56.000000,"CAT 100","ASAD170"
"K108050","男",46,39.766667,"CAT 100","ASAD170"
"K108060","男",42,21.700000,"CAT 100","ASAD170"
"K108090","男",54,15.766667,"CAT 100","S50"
"K108100","女",39,25.300000,"CAT 100","S50"
"K108110","女",28,55.400000,"CAT 100","ASAD170"
"K108120","男",56,32.033333,"CAT 100","S80"
"K108130","女",34,9.966667,"CAT 100","S50"
"K108140","女",30,26.366667,"CAT 100","S50"
"K108150","男",64,39.666667,"CAT 100","S50"
"K108160","女",46,55.833333,"CAT 100","S50"
"K108170","男",37,46.600000,"CAT 100","ASAD170"
"K108180","女",30,57.500000,"CAT 100","ASAD170"
"K108190","男",43,28.466667,"CAT 100","ASAD170"
"K108200","男",27,25.233333,"CAT 100","S80"
"K108210","女",34,21.633333,"CAT 100","ASAD170"
"K108240","女",26,43.800000,"CAT 100","ASAD170"
"K108250","女",40,37.333333,"CAT 100","ASAD170"
"K108270","男",42,57.533333,"CAT 100","S50"
"K108280","男",56,53.466667,"CAT 100","S80"
"K108300","男",37,38.700000,"CAT 100","S80"
"K108310","男",61,30.533333,"CAT 100","ASAD170"
"K108320","男",29,39.600000,"CAT 100","S80"
"K108330","女",60,21.266667,"CAT 100","S80"
"K108340","男",27,43.733333,"CAT 100","S50"
"K108350","男",26,15.866667,"CAT 100","ASAD170"
"K108370","男",40,29.366667,"CAT 100","ASAD170"
"K108380","男",30,46.366667,"CAT 100","S50"
"K108390","女",52,17.900000,"CAT 100","S50"
"K108400","女",32,44.566667,"CAT 100","ASAD170"
"K108410","男",27,14.933333,"CAT 100","S50"
"K108420","男",39,38.166667,"CAT 100","S80"
"K108430","男",33,34.633333,"CAT 100","S50"
"K108440","女",29,32.266667,"CAT 100","S50"
"K108450","女",60,18.433333,"CAT 100","ASAD170"
"K108480","女",38,54.066667,"CAT 100","S50"
"K108490","男",40,30.100000,"CAT 100","S50"
"K108500","女",39,24.233333,"CAT 100","S80"
"K108520","女",42,50.266667,"CAT 100","S80"
"K108560","男",43,39.866667,"CAT 100","ASAD170"
"K108570","男",42,48.200000,"CAT 100","S80"
"K108580","女",38,34.866667,"CAT 100","S80"
"K108590","女",30,31.566667,"CAT 100","S80"
"K108600","男",39,20.600000,"CAT 100","S50"
"K108610","男",34,46.200000,"CAT 100","S50"
"K108620","男",33,55.500000,"CAT 100","ASAD170"
"K108650","女",53,41.566667,"CAT 100","ASAD170"
"K108660","男",42,32.600000,"CAT 100","ASAD170"
"K108670","女",26,48.566667,"CAT 100","ASAD170"
"K108690","男",45,44.033333,"CAT 100","ASAD170"
"K108700","女",31,49.166667,"CAT 100","S80"
"K108710","男",50,15.966667,"CAT 100","S50"
"K108720","男",35,51.533333,"CAT 100","S80"
"K108730","男",31,35.666667,"CAT 100","S80"
"K108750","女",26,37.266667,"CAT 100","S80"
"K108760","男",26,13.200000,"CAT 100","ASAD170"
"K108770","女",27,46.133333,"CAT 100","ASAD170"
"K108780","女",27,46.233333,"CAT 100","ASAD170"
"K108790","女",37,24.000000,"CAT 100","S80"
"K108810","男",47,36.666667,"CAT 100","S80"
"K108820","女",26,41.266667,"CAT 100","S50"
"K108840","男",35,37.466667,"CAT 100","S50"
"K108850","女",27,15.500000,"CAT 100","ASAD170"
"K108860","男",34,47.166667,"CAT 100","S50"
"K108870","女",30,22.933333,"CAT 100","ASAD170"
"K108920","男",30,49.333333,"CAT 100","S50"
"K108930","男",36,15.566667,"CAT 100","S80"
"K108950","男",27,25.533333,"CAT 100","S80"
"K108960","男",61,47.500000,"CAT 100","ASAD170"
"K108970","男",29,54.666667,"CAT 100","S80"
"K108980","男",42,33.433333,"CAT 100","ASAD90"
"K109000","女",40,35.800000,"CAT 100","ASAD170"
"K109010","男",46,50.633333,"CAT 100","ASAD170"
"K109030","男",64,21.800000,"CAT 100","ASAD170"
"K109040","女",59,28.000000,"CAT 100","S80"
"K109060","女",54,35.566667,"CAT 100","S80"
"K109090","男",45,34.666667,"CAT 100","S50"
"K109100","女",30,16.933333,"CAT 100","ASAD170"
"K109130","男",40,38.400000,"CAT 100","S50"
"K109140","男",32,31.300000,"CAT 100","ASAD170"
"K109160","女",29,44.800000,"CAT 100","S50"
"K109170","女",33,50.900000,"CAT 100","S80"
"K109180","男",49,56.333333,"CAT 100","ASAD170"
"K109190","男",48,12.233333,"CAT 100","S80"
"K109210","女",33,32.200000,"CAT 100","S50"
"K109230","男",30,13.466667,"CAT 100","S50"
"K109240","男",26,50.333333,"CAT 100","ASAD170"
"K109250","女",34,27.400000,"CAT 100","S80"
"K109260","男",36,35.166667,"CAT 100","ASAD170"
"K109280","男",40,12.533333,"CAT 100","S80"
"K109290","女",39,50.466667,"CAT 100","S80"
"K109320","男",28,28.666667,"CAT 100","S50"
"K109330","男",46,36.800000,"CAT 100","S50"
"K109340","男",29,38.366667,"CAT 100","S80"
"K109360","女",44,30.733333,"CAT 100","S80"
"K109390","男",26,35.466667,"CAT 100","ASAD170"
"K109400","女",37,51.933333,"CAT 100","S80"
