Time,Date,Username
'19:29:56','24/02/2001','user_289764'
'16:59:36','19/02/2001','user_17169'
'10:31:03','23/02/2001','user_4606935'
'02:37:57','23/02/2001','user_840338'
'11:05:15','24/02/2001','user_2414537'
'11:27:59','22/02/2001','user_2326518'
'05:36:24','20/02/2001','user_652870'
'05:05:59','19/02/2001','user_4119246'
'21:16:10','21/02/2001','user_4706203'
'21:49:06','25/02/2001','user_3279660'
'05:28:30','25/02/2001','user_2837094'
'12:10:07','24/02/2001','user_942753'
'02:47:36','24/02/2001','user_3645194'
'01:42:33','20/02/2001','user_3203292'
'19:02:24','23/02/2001','user_2431240'
'01:15:23','21/02/2001','user_4364332'
'02:33:09','25/02/2001','user_4047197'
'00:04:20','25/02/2001','user_2122555'
'05:39:36','25/02/2001','user_1695081'
'08:45:11','25/02/2001','user_3279660'
'15:25:11','24/02/2001','user_1468795'
'06:47:01','21/02/2001','user_4053213'
'16:54:15','24/02/2001','user_3574513'
'23:51:46','25/02/2001','user_278583'
'18:46:58','23/02/2001','user_653299'
'13:19:16','22/02/2001','user_3078878'
'10:30:14','18/02/2001','user_4241151'
'01:59:12','25/02/2001','user_1847074'
'11:29:37','21/02/2001','user_1767579'
'11:09:06','20/02/2001','user_675515'
'23:42:39','25/02/2001','user_1138942'
'22:25:08','25/02/2001','user_2955545'
'04:01:27','21/02/2001','user_4677069'
'11:59:57','19/02/2001','user_2693514'
'18:09:40','20/02/2001','user_4985458'
'13:03:17','23/02/2001','user_2345513'
'13:05:13','24/02/2001','user_646255'
'23:33:55','25/02/2001','user_61378'
'20:54:24','24/02/2001','user_3545948'
'12:52:52','21/02/2001','user_3078878'
'08:47:57','23/02/2001','user_513893'
'17:28:41','24/02/2001','user_2731357'
'16:27:35','25/02/2001','user_3975126'
'07:16:26','23/02/2001','user_3057841'
'11:04:31','25/02/2001','user_1173465'
'08:30:17','22/02/2001','user_4722094'
'18:17:43','25/02/2001','user_4323333'
'18:58:11','25/02/2001','user_1022634'
'14:08:52','22/02/2001','user_3998334'
'17:29:53','23/02/2001','user_2066044'
'18:19:20','22/02/2001','user_458441'
'23:01:05','24/02/2001','user_987522'
'08:55:48','21/02/2001','user_942753'
'12:10:01','25/02/2001','user_1686360'
'12:48:11','25/02/2001','user_1205460'
'05:02:59','24/02/2001','user_1767477'
'22:04:59','25/02/2001','user_4493200'
'20:23:56','24/02/2001','user_4642236'
'10:43:34','18/02/2001','user_4112010'
'22:15:24','21/02/2001','user_458441'
'19:07:13','19/02/2001','user_4907314'
'10:56:10','25/02/2001','user_4082667'
'21:32:54','25/02/2001','user_3234771'
'08:35:11','23/02/2001','user_870465'
'01:52:26','25/02/2001','user_1840027'
'17:05:33','25/02/2001','user_1660048'
'22:13:35','22/02/2001','user_784821'
'18:43:24','24/02/2001','user_3485315'
'19:22:15','25/02/2001','user_3682250'
'20:46:55','23/02/2001','user_4544750'
'21:09:21','24/02/2001','user_1628566'
'15:55:14','22/02/2001','user_4726948'
'07:00:29','23/02/2001','user_2152722'
'15:52:43','25/02/2001','user_1815063'
'13:51:41','25/02/2001','user_1851658'
'04:12:31','21/02/2001','user_4651586'
'05:00:13','24/02/2001','user_4568019'
'04:26:41','21/02/2001','user_2968801'
'13:01:16','23/02/2001','user_395489'
'17:04:47','25/02/2001','user_4940468'
'10:10:41','23/02/2001','user_3663511'
'12:14:38','21/02/2001','user_1686360'
'06:06:22','23/02/2001','user_490522'
'03:18:50','22/02/2001','user_4649154'
'19:46:06','25/02/2001','user_3154932'
'05:06:11','21/02/2001','user_2830032'
'00:21:32','19/02/2001','user_2294257'
'00:53:42','23/02/2001','user_1553333'
'15:28:12','21/02/2001','user_3385537'
'19:09:51','25/02/2001','user_3105995'
'14:39:20','21/02/2001','user_2477238'
'13:25:19','25/02/2001','user_3050714'
'10:01:56','18/02/2001','user_2353457'
'16:51:05','25/02/2001','user_2668781'
'10:24:48','19/02/2001','user_4841952'
'06:28:28','21/02/2001','user_235347'
'17:39:03','25/02/2001','user_536605'
'03:54:08','19/02/2001','user_1403472'
'10:11:18','25/02/2001','user_4024362'
'18:18:55','25/02/2001','user_2312645'
'15:16:08','23/02/2001','user_2878631'
'09:15:16','25/02/2001','user_3834318'
'14:55:44','25/02/2001','user_1534844'
'11:34:50','23/02/2001','user_4719492'
'20:27:52','24/02/2001','user_2717791'
'14:19:54','24/02/2001','user_2804890'
'15:57:03','25/02/2001','user_2041354'
'01:49:50','24/02/2001','user_2694639'
'19:22:15','20/02/2001','user_1190792'
'12:48:54','18/02/2001','user_4278628'
'18:04:43','25/02/2001','user_1159159'
'19:02:57','23/02/2001','user_1148012'
'15:52:06','19/02/2001','user_4024362'
'17:00:03','24/02/2001','user_357330'
'19:20:12','25/02/2001','user_870465'
'10:28:12','23/02/2001','user_987522'
'13:05:19','24/02/2001','user_1433741'
'20:26:23','22/02/2001','user_3279660'
'12:39:03','25/02/2001','user_1716101'
'14:03:52','22/02/2001','user_3253946'
'03:22:02','24/02/2001','user_4025347'
'08:25:05','22/02/2001','user_626959'
'18:20:02','25/02/2001','user_2353457'
'02:12:00','23/02/2001','user_4227784'
'02:45:18','25/02/2001','user_2573391'
'13:57:49','24/02/2001','user_3424808'
'11:01:55','22/02/2001','user_1100536'
'13:47:04','23/02/2001','user_2436986'
'18:32:24','25/02/2001','user_1871624'
'23:23:23','21/02/2001','user_2971719'
'23:29:32','19/02/2001','user_45185'
'18:39:33','25/02/2001','user_652870'
'02:16:15','22/02/2001','user_2418977'
'17:42:53','25/02/2001','user_2224847'
'23:55:45','19/02/2001','user_4282730'
'11:28:56','20/02/2001','user_4044191'
'05:24:12','22/02/2001','user_1250578'
'15:00:05','25/02/2001','user_1195326'
'21:58:01','23/02/2001','user_139188'
'21:17:50','24/02/2001','user_4766693'
'02:57:13','25/02/2001','user_17169'
'04:35:14','25/02/2001','user_189213'
'16:30:07','20/02/2001','user_1653734'
'00:31:59','20/02/2001','user_4666324'
'07:06:05','24/02/2001','user_926161'
'08:19:02','25/02/2001','user_584358'
'07:37:03','18/02/2001','user_4467790'
'11:34:27','19/02/2001','user_3545948'
'18:20:07','25/02/2001','user_1189901'
'01:21:18','24/02/2001','user_3883466'
'05:11:30','25/02/2001','user_4458128'
'02:30:42','20/02/2001','user_3144085'
'03:59:05','23/02/2001','user_363406'
'12:32:30','23/02/2001','user_1689845'
'08:48:53','25/02/2001','user_2837094'
'18:01:04','23/02/2001','user_4077493'
'01:23:24','22/02/2001','user_1206063'
'15:08:17','24/02/2001','user_1665601'
'19:32:17','22/02/2001','user_1534844'
'21:15:14','24/02/2001','user_1495542'
'02:38:12','24/02/2001','user_4726948'
'14:55:22','20/02/2001','user_4025347'
'09:06:44','25/02/2001','user_1871624'
'07:11:03','25/02/2001','user_2537156'
'08:27:55','25/02/2001','user_3383428'
'23:37:10','20/02/2001','user_157637'
'15:14:42','23/02/2001','user_2142801'
'01:07:47','23/02/2001','user_4442069'
'02:59:09','25/02/2001','user_2717791'
'01:52:07','25/02/2001','user_3196065'
'10:30:53','24/02/2001','user_3663511'
'22:26:47','20/02/2001','user_4214749'
'07:34:36','24/02/2001','user_3289888'
'09:24:20','24/02/2001','user_2712083'
'01:27:22','22/02/2001','user_2005043'
'14:53:14','23/02/2001','user_2822530'
'08:06:34','25/02/2001','user_2236178'
'23:14:22','23/02/2001','user_1856247'
'16:36:42','25/02/2001','user_4417947'
'00:01:51','18/02/2001','user_1190792'
'06:19:37','20/02/2001','user_4078401'
'02:37:38','24/02/2001','user_1459969'
'05:10:24','25/02/2001','user_3751061'
'17:56:48','24/02/2001','user_4025347'
'12:29:10','24/02/2001','user_3494853'
'12:43:17','24/02/2001','user_4119246'
'14:45:23','23/02/2001','user_2899545'
'19:30:36','25/02/2001','user_157637'
'11:29:26','25/02/2001','user_1739106'
'02:32:23','19/02/2001','user_2609483'
'07:07:55','25/02/2001','user_723779'
'00:03:07','18/02/2001','user_3521305'
'02:48:41','24/02/2001','user_4544750'
'03:17:08','23/02/2001','user_3482834'
'01:11:28','25/02/2001','user_3556310'
'13:31:26','24/02/2001','user_4718560'
'00:50:47','25/02/2001','user_2763218'
'10:22:22','20/02/2001','user_4822418'
'05:02:33','25/02/2001','user_3663511'
'04:24:41','20/02/2001','user_1851658'
'15:30:10','20/02/2001','user_2208546'
'12:55:43','23/02/2001','user_2904387'
'13:27:13','24/02/2001','user_3574513'
'20:39:23','24/02/2001','user_2353457'
'03:46:05','24/02/2001','user_4642236'
'07:32:38','20/02/2001','user_4718560'
'17:07:13','23/02/2001','user_757509'
'18:05:27','23/02/2001','user_2414537'
'12:50:01','25/02/2001','user_2658412'
'16:23:09','22/02/2001','user_625987'
'10:15:06','23/02/2001','user_529922'
'16:17:17','18/02/2001','user_4806634'
'06:33:34','22/02/2001','user_2431240'
'23:51:50','23/02/2001','user_633162'
'13:01:33','24/02/2001','user_1776825'
'02:54:07','18/02/2001','user_4404410'
'20:46:09','25/02/2001','user_1727973'
'20:39:57','24/02/2001','user_2693514'
'20:13:11','25/02/2001','user_1105949'
'17:57:02','20/02/2001','user_4417476'
'01:23:27','24/02/2001','user_4568019'
'03:33:59','23/02/2001','user_2050927'
'19:02:37','23/02/2001','user_1022634'
'15:29:00','24/02/2001','user_1686360'
'01:01:45','23/02/2001','user_1459969'
'04:30:33','25/02/2001','user_4861324'
'15:49:37','23/02/2001','user_1495542'
'03:27:12','22/02/2001','user_3264505'
'01:16:47','19/02/2001','user_4677069'
'20:53:37','18/02/2001','user_2414537'
'11:49:15','24/02/2001','user_4907314'
'03:23:47','19/02/2001','user_2792603'
'13:08:50','24/02/2001','user_2448590'
'00:55:22','22/02/2001','user_1283809'
'13:17:44','25/02/2001','user_1290803'
'14:48:45','25/02/2001','user_36989'
'04:37:04','22/02/2001','user_1148012'
'01:48:06','24/02/2001','user_3482834'
'05:54:57','19/02/2001','user_3320880'
'14:29:18','21/02/2001','user_128155'
'10:09:10','20/02/2001','user_4364332'
'11:51:57','25/02/2001','user_757509'
'15:23:44','25/02/2001','user_4078401'
'02:46:50','24/02/2001','user_3253946'
'22:54:19','19/02/2001','user_4089797'
'14:37:29','19/02/2001','user_3107055'
'15:51:38','19/02/2001','user_4119896'
'11:55:49','21/02/2001','user_868957'
'16:46:27','24/02/2001','user_4364332'
'12:22:31','22/02/2001','user_4398580'
'17:44:15','19/02/2001','user_2052677'
'06:10:22','21/02/2001','user_2066044'
'19:38:25','22/02/2001','user_1228040'
'10:25:25','20/02/2001','user_3310746'
'17:45:42','24/02/2001','user_3264678'
'08:38:33','24/02/2001','user_3898989'
'19:44:54','21/02/2001','user_4718560'
'10:32:24','25/02/2001','user_5784'
'04:19:44','22/02/2001','user_1635558'
'08:15:17','24/02/2001','user_686690'
'17:12:18','25/02/2001','user_4158464'
'19:29:13','22/02/2001','user_4921085'
'08:03:34','25/02/2001','user_297448'
'15:49:42','18/02/2001','user_3195563'
'04:41:03','23/02/2001','user_2462844'
'23:29:39','23/02/2001','user_1425556'
'14:22:18','25/02/2001','user_4985458'
'09:34:21','23/02/2001','user_4642236'
'14:53:48','19/02/2001','user_799002'
'19:45:04','24/02/2001','user_2473433'
'04:24:44','23/02/2001','user_675515'
'00:08:03','23/02/2001','user_2153136'
'01:44:46','22/02/2001','user_1190792'
'01:47:28','25/02/2001','user_686690'
'17:23:05','24/02/2001','user_1109202'
'18:57:48','18/02/2001','user_1932677'
'04:20:27','22/02/2001','user_4384884'
'14:31:43','25/02/2001','user_4470105'
'08:10:26','24/02/2001','user_3094048'
'16:26:59','25/02/2001','user_4513297'
'06:02:25','25/02/2001','user_3521043'
'07:07:02','23/02/2001','user_3448032'
'11:33:05','19/02/2001','user_2614860'
'01:54:05','25/02/2001','user_1577282'
'21:30:55','25/02/2001','user_1815063'
'13:07:58','22/02/2001','user_1534844'
'18:05:31','24/02/2001','user_1227221'
'02:29:21','25/02/2001','user_3592246'
'10:16:08','25/02/2001','user_3015816'
'13:23:35','23/02/2001','user_4666324'
'02:10:09','22/02/2001','user_1642758'
'18:06:14','24/02/2001','user_2955545'
'23:42:39','23/02/2001','user_1788203'
'12:09:45','21/02/2001','user_926161'
'08:36:03','20/02/2001','user_2564932'
'06:28:38','25/02/2001','user_1837377'
'07:18:08','23/02/2001','user_4098719'
'04:54:57','19/02/2001','user_407315'
'12:50:55','23/02/2001','user_927007'
'05:19:08','24/02/2001','user_602924'
'11:52:02','24/02/2001','user_2339302'
'09:24:02','23/02/2001','user_2978138'
'07:11:55','20/02/2001','user_3154932'
'09:03:32','24/02/2001','user_2870001'
'14:52:37','25/02/2001','user_1371194'
'08:28:25','25/02/2001','user_3302792'
'16:00:35','23/02/2001','user_3094048'
'17:55:38','24/02/2001','user_1031580'
'17:09:32','23/02/2001','user_3154932'
'15:51:24','21/02/2001','user_4318603'
'15:31:26','23/02/2001','user_293209'
'00:31:51','25/02/2001','user_2550964'
'06:24:28','23/02/2001','user_2045061'
'23:26:28','25/02/2001','user_1751037'
'11:05:43','24/02/2001','user_1864021'
'16:18:57','25/02/2001','user_2717791'
'23:10:43','25/02/2001','user_3578076'
'03:58:33','25/02/2001','user_4921085'
'21:03:58','25/02/2001','user_3796257'
'19:51:23','25/02/2001','user_411578'
'14:02:12','23/02/2001','user_4836829'
'21:11:12','24/02/2001','user_1285107'
'06:41:22','25/02/2001','user_3645194'
'02:29:11','22/02/2001','user_249513'
'09:17:19','22/02/2001','user_1642915'
'14:04:36','23/02/2001','user_4716547'
'11:51:48','23/02/2001','user_927007'
'00:38:46','25/02/2001','user_1831142'
'16:36:15','23/02/2001','user_2353457'
'00:17:16','21/02/2001','user_1438520'
'18:10:32','22/02/2001','user_4140694'
'21:49:54','24/02/2001','user_297839'
'05:59:35','25/02/2001','user_1189901'
'01:24:16','25/02/2001','user_293209'
'14:59:38','25/02/2001','user_1553333'
'04:29:26','25/02/2001','user_1737228'
'00:59:39','19/02/2001','user_4841952'
'05:54:19','24/02/2001','user_898955'
'21:32:29','19/02/2001','user_617068'
'20:16:16','25/02/2001','user_2800223'
'07:24:23','24/02/2001','user_3392982'
'19:59:47','21/02/2001','user_3104345'
'00:28:09','23/02/2001','user_4364332'
'01:08:04','21/02/2001','user_3178066'
'11:19:19','18/02/2001','user_458441'
'18:10:51','24/02/2001','user_291100'
'08:10:55','22/02/2001','user_4231526'
'17:16:34','25/02/2001','user_2441506'
'20:41:37','21/02/2001','user_1228040'
'20:11:33','20/02/2001','user_1152836'
'19:05:20','25/02/2001','user_1007890'
'13:49:50','23/02/2001','user_1298556'
'09:31:40','25/02/2001','user_1642758'
'11:25:04','22/02/2001','user_3478126'
'17:14:49','25/02/2001','user_2565443'
'03:36:47','25/02/2001','user_4053213'
'09:03:55','23/02/2001','user_2186859'
'03:23:54','18/02/2001','user_3406495'
'06:18:12','23/02/2001','user_3645194'
'12:03:36','25/02/2001','user_3009382'
'01:35:19','25/02/2001','user_2800223'
'12:08:56','23/02/2001','user_1040250'
'03:21:19','18/02/2001','user_827050'
'10:08:04','25/02/2001','user_3014021'
'08:58:32','23/02/2001','user_4078401'
'10:26:19','25/02/2001','user_4719492'
'17:56:19','19/02/2001','user_2575025'
'15:02:18','25/02/2001','user_632378'
'16:12:02','21/02/2001','user_4025488'
'19:28:04','25/02/2001','user_1264422'
'08:00:12','25/02/2001','user_962133'
'13:28:27','24/02/2001','user_1199934'
'07:42:24','23/02/2001','user_1324379'
'05:01:54','24/02/2001','user_2989072'
'02:44:45','19/02/2001','user_4082598'
'08:59:03','19/02/2001','user_3307654'
'17:51:05','19/02/2001','user_2749990'
'16:50:34','25/02/2001','user_309709'
'07:40:47','21/02/2001','user_1424688'
'23:54:49','19/02/2001','user_664757'
'13:34:57','19/02/2001','user_2025377'
'19:04:21','25/02/2001','user_4135577'
'14:39:53','24/02/2001','user_3294821'
'20:13:05','25/02/2001','user_3330824'
'21:23:13','25/02/2001','user_4237856'
'04:29:08','25/02/2001','user_2030634'
'16:01:53','23/02/2001','user_3207787'
'17:13:39','25/02/2001','user_4604493'
'13:13:01','21/02/2001','user_266171'
'09:24:26','20/02/2001','user_3391123'
'02:07:15','19/02/2001','user_2111601'
'07:54:49','21/02/2001','user_2222289'
'09:45:00','22/02/2001','user_1094995'
'02:05:31','24/02/2001','user_3285228'
'11:07:56','19/02/2001','user_3741207'
'06:01:01','22/02/2001','user_4173432'
'20:36:57','20/02/2001','user_4367470'
'06:34:55','23/02/2001','user_657037'
'22:47:21','24/02/2001','user_2836161'
'10:28:18','24/02/2001','user_3267684'
'17:01:08','18/02/2001','user_13057'
'04:05:10','18/02/2001','user_416896'
'15:38:48','23/02/2001','user_2985280'
'11:26:16','19/02/2001','user_2575025'
'17:15:20','23/02/2001','user_3992992'
'22:12:27','24/02/2001','user_1356032'
'01:02:24','21/02/2001','user_1501547'
'15:36:39','20/02/2001','user_4116594'
'02:22:24','25/02/2001','user_2156113'
'00:21:50','23/02/2001','user_3411094'
'15:07:33','22/02/2001','user_4206515'
'01:57:48','22/02/2001','user_1867126'
'12:36:47','21/02/2001','user_3381087'
'17:20:57','21/02/2001','user_349550'
'07:48:31','24/02/2001','user_353676'
'14:33:31','21/02/2001','user_3286979'
'16:48:41','20/02/2001','user_3375031'
'04:09:03','25/02/2001','user_3267684'
'04:16:20','22/02/2001','user_1804942'
'04:41:52','19/02/2001','user_429832'
'12:32:56','25/02/2001','user_3207787'
'10:00:44','19/02/2001','user_1032851'
'14:12:54','20/02/2001','user_1934361'
'08:58:49','20/02/2001','user_1032851'
'12:49:06','25/02/2001','user_4135577'
'08:04:17','23/02/2001','user_4004813'
'14:23:01','25/02/2001','user_1314872'
'16:29:02','21/02/2001','user_3247184'
'13:29:41','18/02/2001','user_2817849'
'15:19:42','20/02/2001','user_965883'
'14:00:59','22/02/2001','user_4260776'
'02:03:08','23/02/2001','user_3843906'
'22:35:16','20/02/2001','user_254307'
'02:34:50','24/02/2001','user_1580126'
'05:46:54','23/02/2001','user_162438'
'19:13:04','23/02/2001','user_3041606'
'20:42:32','22/02/2001','user_3847734'
'08:35:59','25/02/2001','user_2448274'
'18:49:41','25/02/2001','user_3391123'
'17:40:09','25/02/2001','user_1358702'
'03:43:59','22/02/2001','user_2071340'
'02:31:16','19/02/2001','user_2684762'
'23:34:09','21/02/2001','user_1389303'
'02:45:17','21/02/2001','user_2166991'
'23:42:07','22/02/2001','user_213577'
'15:25:22','22/02/2001','user_2456279'
'09:49:12','24/02/2001','user_154610'
'19:47:14','25/02/2001','user_1551173'
'06:14:29','18/02/2001','user_4382919'
'05:18:20','22/02/2001','user_4987885'
'01:56:12','24/02/2001','user_2686336'
'13:51:43','23/02/2001','user_4613549'
'03:23:25','21/02/2001','user_348178'
'22:04:58','21/02/2001','user_1324379'
'08:53:35','24/02/2001','user_3672391'
'20:41:33','24/02/2001','user_1580126'
'04:42:58','24/02/2001','user_1839951'
'04:28:38','19/02/2001','user_4467029'
'10:27:21','21/02/2001','user_256047'
'11:51:51','23/02/2001','user_2470227'
'14:32:27','24/02/2001','user_2998208'
'20:06:21','20/02/2001','user_1116664'
'11:23:31','25/02/2001','user_4798711'
'21:09:24','23/02/2001','user_2529499'
'07:56:03','19/02/2001','user_1804942'
'15:55:30','20/02/2001','user_4586882'
'20:38:57','22/02/2001','user_1388747'
'00:50:49','24/02/2001','user_3803881'
'05:56:59','24/02/2001','user_4096113'
'00:29:56','22/02/2001','user_3992992'
'22:22:19','25/02/2001','user_4827663'
'07:20:03','21/02/2001','user_3311698'
'15:34:20','21/02/2001','user_1866803'
'10:07:12','20/02/2001','user_3487722'
'23:17:30','25/02/2001','user_3593826'
'23:38:35','25/02/2001','user_2245710'
'01:03:55','23/02/2001','user_3575641'
'03:59:36','25/02/2001','user_2811197'
'06:14:01','22/02/2001','user_2106454'
'12:11:02','23/02/2001','user_3352210'
'04:25:53','23/02/2001','user_3741207'
'19:32:02','20/02/2001','user_2156113'
'20:06:37','22/02/2001','user_3596146'
'22:56:30','25/02/2001','user_1026538'
'18:34:05','23/02/2001','user_3285228'
'06:37:33','23/02/2001','user_1979139'
'22:33:55','18/02/2001','user_836171'
'21:52:49','24/02/2001','user_2106454'
'11:14:34','23/02/2001','user_1553220'
'16:46:20','22/02/2001','user_4387664'
'07:47:34','24/02/2001','user_2214212'
'02:41:52','21/02/2001','user_771164'
'13:54:08','23/02/2001','user_2550801'
'16:42:36','20/02/2001','user_416864'
'21:50:15','23/02/2001','user_2702138'
'01:45:39','23/02/2001','user_2390131'
'17:07:19','24/02/2001','user_996360'
'13:43:08','22/02/2001','user_4388182'
'16:19:40','23/02/2001','user_3438343'
'22:08:09','20/02/2001','user_2245710'
'02:39:30','23/02/2001','user_1479820'
'23:31:01','24/02/2001','user_2156113'
'10:19:48','19/02/2001','user_2859733'
'23:53:29','23/02/2001','user_4730945'
'23:21:36','25/02/2001','user_2340425'
'10:47:45','21/02/2001','user_2665825'
'18:34:58','22/02/2001','user_2106454'
'16:08:59','19/02/2001','user_3395045'
'08:36:05','23/02/2001','user_3596146'
'05:25:24','25/02/2001','user_712753'
'22:35:38','18/02/2001','user_2737292'
'10:54:23','21/02/2001','user_1988413'
