后项	前项 	规则 ID	实例	支持度 %	置信度 %	规则支持 %	提升	部署能力
Proc_90 = T	诊断方法 = 770	235	812	8.582	94.581	8.117	6.258	0.465
Proc_5 = T	诊断方法 = V72	215	565	5.971	93.628	5.591	4.712	0.38
Proc_5 = T	诊断方法 = 770	237	812	8.582	86.33	7.409	4.345	1.173
Proc_89 = T	诊断方法 = V53	145	224	2.367	80.804	1.913	2.718	0.454
Proc_23 = T	诊断方法 = 250	194	282	2.98	79.787	2.378	4.763	0.602
Proc_20 = T	诊断方法 = 304	74	178	1.881	78.652	1.48	1.969	0.402
Proc_22 = T	诊断方法 = 346	26	114	1.205	78.07	0.941	22.729	0.264
Proc_33 = T	诊断方法 = 510	105	194	2.05	77.32	1.585	3.313	0.465
Proc_33 = T	诊断方法 = V99	93	201	2.124	76.119	1.617	3.262	0.507
Proc_13 = T	诊断方法 = 296	52	147	1.554	74.83	1.163	16.979	0.391
Proc_18 = T	诊断方法 = 729	14	115	1.215	73.043	0.888	25.316	0.328
Proc_5 = T	诊断方法 = 346	32	114	1.205	71.93	0.867	3.62	0.338
Proc_90 = T	诊断方法 = 250	193	282	2.98	63.83	1.902	4.223	1.078
Proc_74 = T	诊断方法 = 729	15	115	1.215	62.609	0.761	13.223	0.454
Proc_22 = T	诊断方法 = 789	75	152	1.606	61.842	0.993	18.005	0.613
Proc_17 = T	诊断方法 = 496	135	198	2.093	54.04	1.131	1.42	0.962
Proc_20 = T	诊断方法 = 496	136	198	2.093	48.99	1.025	1.227	1.067
Proc_13 = T	诊断方法 = 496	126	198	2.093	45.455	0.951	10.314	1.141
Proc_17 = T	诊断方法 = 789	86	152	1.606	28.947	0.465	0.76	1.141
Proc_20 = T	诊断方法 = V72	219	565	5.971	25.133	1.501	0.629	4.471
Proc_5 = T	诊断方法 = 789	83	152	1.606	23.684	0.38	1.192	1.226
Proc_17 = T	诊断方法 = V72	218	565	5.971	22.655	1.353	0.595	4.618
Proc_33 = T	诊断方法 = 789	80	152	1.606	22.368	0.359	0.959	1.247
Proc_17 = T	诊断方法 = 780	48	161	1.702	22.36	0.38	0.587	1.321
Proc_20 = T	诊断方法 = 707	13	139	1.469	22.302	0.328	0.558	1.141
Proc_5 = T	诊断方法 = 296	58	147	1.554	21.088	0.328	1.061	1.226
Proc_33 = T	诊断方法 = 707	6	139	1.469	19.424	0.285	0.832	1.184
Proc_23 = T	诊断方法 = V72	214	565	5.971	18.938	1.131	1.131	4.84
Proc_17 = T	诊断方法 = 401	123	248	2.621	18.548	0.486	0.487	2.135
Proc_89 = T	诊断方法 = V72	217	565	5.971	17.522	1.046	0.589	4.925
Proc_20 = T	诊断方法 = V58	173	295	3.118	17.288	0.539	0.433	2.579
Proc_20 = T	诊断方法 = 250	199	282	2.98	17.021	0.507	0.426	2.473
Proc_89 = T	诊断方法 = 250	197	282	2.98	16.667	0.497	0.561	2.484
Proc_17 = T	诊断方法 = 770	240	812	8.582	16.502	1.416	0.433	7.166
Proc_90 = T	诊断方法 = V72	213	565	5.971	16.46	0.983	1.089	4.988
Proc_29 = T	诊断方法 = V72	216	565	5.971	16.283	0.972	0.661	4.999
Proc_20 = T	诊断方法 = 780	49	161	1.702	16.149	0.275	0.404	1.427
Proc_20 = T	诊断方法 = 770	241	812	8.582	15.764	1.353	0.395	7.229
Proc_84 = T	诊断方法 = 789	78	152	1.606	15.132	0.243	1.77	1.363
Proc_74 = T	诊断方法 = 296	51	147	1.554	14.966	0.233	3.161	1.321
Proc_20 = T	诊断方法 = 296	62	147	1.554	14.966	0.233	0.375	1.321
Proc_33 = T	诊断方法 = 250	192	282	2.98	14.539	0.433	0.623	2.547
Proc_33 = T	诊断方法 = 770	234	812	8.582	14.532	1.247	0.623	7.335
Proc_88 = T	诊断方法 = V72	211	565	5.971	14.159	0.845	1.843	5.126
Proc_17 = T	诊断方法 = V53	146	224	2.367	13.839	0.328	0.364	2.04
Proc_29 = T	诊断方法 = 296	59	147	1.554	13.605	0.211	0.553	1.342
Proc_29 = T	诊断方法 = 250	196	282	2.98	13.475	0.402	0.547	2.579
Proc_84 = T	诊断方法 = V72	210	565	5.971	13.274	0.793	1.553	5.179
Proc_33 = T	诊断方法 = V58	166	295	3.118	13.22	0.412	0.567	2.706
Proc_23 = T	诊断方法 = 780	44	161	1.702	13.043	0.222	0.779	1.48
Proc_5 = T	诊断方法 = 707	9	139	1.469	12.95	0.19	0.652	1.279
Proc_89 = T	诊断方法 = V58	171	295	3.118	12.881	0.402	0.433	2.716
Proc_89 = T	诊断方法 = 770	239	812	8.582	12.685	1.089	0.427	7.493
Proc_89 = T	诊断方法 = 789	85	152	1.606	12.5	0.201	0.42	1.406
Proc_89 = T	诊断方法 = 780	47	161	1.702	12.422	0.211	0.418	1.49
Proc_17 = T	诊断方法 = V95	229	1,153	12.186	12.316	1.501	0.324	10.685
Proc_33 = T	诊断方法 = 296	55	147	1.554	12.245	0.19	0.525	1.363
Proc_17 = T	诊断方法 = V58	172	295	3.118	12.203	0.38	0.321	2.737
Proc_20 = T	诊断方法 = 510	112	194	2.05	11.856	0.243	0.297	1.807
Proc_17 = T	诊断方法 = 250	198	282	2.98	11.348	0.338	0.298	2.642
Proc_33 = T	诊断方法 = 304	67	178	1.881	11.236	0.211	0.481	1.67
Proc_20 = T	诊断方法 = 786	186	419	4.428	11.217	0.497	0.281	3.932
Proc_20 = T	诊断方法 = V95	230	1,153	12.186	11.188	1.363	0.28	10.822
Proc_90 = T	诊断方法 = 789	81	152	1.606	11.184	0.18	0.74	1.427
Proc_23 = T	诊断方法 = 789	82	152	1.606	11.184	0.18	0.668	1.427
Proc_33 = T	诊断方法 = V53	140	224	2.367	11.161	0.264	0.478	2.103
Proc_13 = T	诊断方法 = V72	209	565	5.971	11.15	0.666	2.53	5.305
Proc_5 = T	诊断方法 = 250	195	282	2.98	10.993	0.328	0.553	2.653
Proc_90 = T	诊断方法 = 780	43	161	1.702	10.559	0.18	0.699	1.522
Proc_29 = T	诊断方法 = 780	46	161	1.702	10.559	0.18	0.429	1.522
Proc_5 = T	诊断方法 = V53	143	224	2.367	10.268	0.243	0.517	2.124
Proc_5 = T	诊断方法 = V58	169	295	3.118	10.169	0.317	0.512	2.801
Proc_29 = T	诊断方法 = V58	170	295	3.118	10.169	0.317	0.413	2.801
Proc_17 = T	诊断方法 = 786	185	419	4.428	10.024	0.444	0.263	3.984
Proc_29 = T	诊断方法 = 770	238	812	8.582	9.975	0.856	0.405	7.726
Proc_23 = T	诊断方法 = V53	142	224	2.367	9.821	0.233	0.586	2.135
Proc_23 = T	诊断方法 = 510	107	194	2.05	9.794	0.201	0.585	1.85
Proc_89 = T	诊断方法 = 510	110	194	2.05	9.794	0.201	0.329	1.85
Proc_88 = T	诊断方法 = 788	242	1,553	16.413	9.788	1.606	1.274	14.807
Proc_89 = T	诊断方法 = V41	248	1,648	17.417	9.648	1.68	0.325	15.737
Proc_84 = T	诊断方法 = 788	232	1,553	16.413	9.401	1.543	1.1	14.87
Proc_89 = T	诊断方法 = 707	11	139	1.469	9.353	0.137	0.315	1.332
Proc_5 = T	诊断方法 = 780	45	161	1.702	9.317	0.159	0.469	1.543
Proc_90 = T	诊断方法 = 510	106	194	2.05	9.278	0.19	0.614	1.86
Proc_23 = T	诊断方法 = 788	253	1,553	16.413	9.144	1.501	0.546	14.912
Proc_33 = T	诊断方法 = V72	212	565	5.971	9.027	0.539	0.387	5.432
Proc_33 = T	诊断方法 = 401	117	248	2.621	8.871	0.233	0.38	2.389
Proc_22 = T	诊断方法 = V58	161	295	3.118	8.814	0.275	2.566	2.843
Proc_88 = T	诊断方法 = 780	41	161	1.702	8.696	0.148	1.132	1.554
Proc_5 = T	诊断方法 = 788	254	1,553	16.413	8.5	1.395	0.428	15.018
Proc_90 = T	诊断方法 = V53	141	224	2.367	8.482	0.201	0.561	2.167
Proc_20 = T	诊断方法 = V53	147	224	2.367	8.482	0.201	0.212	2.167
Proc_20 = T	诊断方法 = V99	99	201	2.124	8.458	0.18	0.212	1.945
Proc_84 = T	诊断方法 = 296	53	147	1.554	8.163	0.127	0.955	1.427
Proc_29 = T	诊断方法 = 707	10	139	1.469	7.914	0.116	0.321	1.353
Proc_29 = T	诊断方法 = 789	84	152	1.606	7.895	0.127	0.321	1.48
Proc_5 = T	诊断方法 = 304	70	178	1.881	7.865	0.148	0.396	1.733
Proc_17 = T	诊断方法 = 729	24	115	1.215	7.826	0.095	0.206	1.12
Proc_90 = T	诊断方法 = 788	252	1,553	16.413	7.727	1.268	0.511	15.145
Proc_33 = T	诊断方法 = 496	129	198	2.093	7.576	0.159	0.325	1.934
Proc_88 = T	诊断方法 = V58	165	295	3.118	7.458	0.233	0.971	2.885
Proc_18 = T	诊断方法 = V72	200	565	5.971	7.257	0.433	2.515	5.538
Proc_5 = T	诊断方法 = 510	108	194	2.05	7.216	0.148	0.363	1.902
Proc_29 = T	诊断方法 = 510	109	194	2.05	7.216	0.148	0.293	1.902
Proc_84 = T	诊断方法 = 707	4	139	1.469	7.194	0.106	0.841	1.363
Proc_23 = T	诊断方法 = 786	181	419	4.428	7.16	0.317	0.427	4.111
Proc_29 = T	诊断方法 = 496	133	198	2.093	7.071	0.148	0.287	1.945
Proc_17 = T	诊断方法 = V65	158	397	4.196	7.053	0.296	0.185	3.9
Proc_29 = T	诊断方法 = 729	22	115	1.215	6.957	0.085	0.283	1.131
Proc_23 = T	诊断方法 = 401	119	248	2.621	6.855	0.18	0.409	2.441
Proc_5 = T	诊断方法 = 401	120	248	2.621	6.855	0.18	0.345	2.441
Proc_84 = T	诊断方法 = 780	40	161	1.702	6.832	0.116	0.799	1.585
Proc_89 = T	诊断方法 = 296	60	147	1.554	6.803	0.106	0.229	1.448
Proc_29 = T	诊断方法 = V95	227	1,153	12.186	6.765	0.824	0.275	11.361
Proc_89 = T	诊断方法 = 304	72	178	1.881	6.742	0.127	0.227	1.754
Proc_23 = T	诊断方法 = V95	225	1,153	12.186	6.505	0.793	0.388	11.393
Proc_90 = T	诊断方法 = 707	7	139	1.469	6.475	0.095	0.428	1.374
Proc_84 = T	诊断方法 = 401	115	248	2.621	6.452	0.169	0.755	2.452
Proc_33 = T	诊断方法 = 786	179	419	4.428	6.444	0.285	0.276	4.143
Proc_90 = T	诊断方法 = 786	180	419	4.428	6.444	0.285	0.426	4.143
Proc_23 = T	诊断方法 = V58	168	295	3.118	6.441	0.201	0.384	2.917
Proc_22 = T	诊断方法 = V72	204	565	5.971	6.372	0.38	1.855	5.591
Proc_17 = T	诊断方法 = 788	257	1,553	16.413	6.31	1.036	0.166	15.377
Proc_5 = T	诊断方法 = 786	182	419	4.428	6.205	0.275	0.312	4.153
Proc_89 = T	诊断方法 = V95	228	1,153	12.186	6.158	0.75	0.207	11.435
Proc_88 = T	诊断方法 = 770	233	812	8.582	6.158	0.528	0.801	8.053
Proc_17 = T	诊断方法 = 346	35	114	1.205	6.14	0.074	0.161	1.131
Proc_5 = T	诊断方法 = 496	132	198	2.093	6.061	0.127	0.305	1.966
Proc_90 = T	诊断方法 = 401	118	248	2.621	6.048	0.159	0.4	2.462
Proc_29 = T	诊断方法 = 401	121	248	2.621	6.048	0.159	0.246	2.462
Proc_90 = T	诊断方法 = V95	224	1,153	12.186	5.811	0.708	0.384	11.477
Proc_88 = T	诊断方法 = 707	5	139	1.469	5.755	0.085	0.749	1.384
Proc_84 = T	诊断方法 = 250	190	282	2.98	5.674	0.169	0.664	2.811
Proc_88 = T	诊断方法 = 401	116	248	2.621	5.645	0.148	0.735	2.473
Proc_22 = T	诊断方法 = 780	37	161	1.702	5.59	0.095	1.627	1.606
Proc_89 = T	诊断方法 = 496	134	198	2.093	5.556	0.116	0.187	1.976
Proc_89 = T	诊断方法 = 729	23	115	1.215	5.217	0.063	0.175	1.152
Proc_84 = T	诊断方法 = 770	231	812	8.582	5.172	0.444	0.605	8.138
Proc_84 = T	诊断方法 = 510	103	194	2.05	5.155	0.106	0.603	1.945
Proc_84 = T	诊断方法 = 304	65	178	1.881	5.056	0.095	0.591	1.786
Proc_29 = T	诊断方法 = 304	71	178	1.881	5.056	0.095	0.205	1.786
Proc_84 = T	诊断方法 = 496	127	198	2.093	5.051	0.106	0.591	1.987
Proc_23 = T	诊断方法 = 707	8	139	1.469	5.036	0.074	0.301	1.395
Proc_5 = T	诊断方法 = V95	226	1,153	12.186	5.03	0.613	0.253	11.573
Proc_89 = T	诊断方法 = V99	97	201	2.124	4.975	0.106	0.167	2.019
Proc_13 = T	诊断方法 = 780	39	161	1.702	4.969	0.085	1.127	1.617
Proc_33 = T	诊断方法 = 788	251	1,553	16.413	4.958	0.814	0.212	15.599
Proc_13 = T	诊断方法 = 401	114	248	2.621	4.839	0.127	1.098	2.494
Proc_89 = T	诊断方法 = 401	122	248	2.621	4.839	0.127	0.163	2.494
Proc_29 = T	诊断方法 = V41	247	1,648	17.417	4.794	0.835	0.195	16.582
Proc_88 = T	诊断方法 = 296	54	147	1.554	4.762	0.074	0.62	1.48
Proc_74 = T	诊断方法 = V58	162	295	3.118	4.746	0.148	1.002	2.97
Proc_20 = T	诊断方法 = 788	258	1,553	16.413	4.507	0.74	0.113	15.673
Proc_33 = T	诊断方法 = 346	29	114	1.205	4.386	0.053	0.188	1.152
Proc_88 = T	诊断方法 = 729	17	115	1.215	4.348	0.053	0.566	1.163
Proc_74 = T	诊断方法 = 780	38	161	1.702	4.348	0.074	0.918	1.628
Proc_13 = T	诊断方法 = 707	3	139	1.469	4.317	0.063	0.979	1.406
Proc_18 = T	诊断方法 = V41	203	1,648	17.417	4.066	0.708	1.409	16.709
Proc_88 = T	诊断方法 = 789	79	152	1.606	3.947	0.063	0.514	1.543
Proc_74 = T	诊断方法 = 304	64	178	1.881	3.933	0.074	0.831	1.807
Proc_23 = T	诊断方法 = 304	69	178	1.881	3.933	0.074	0.235	1.807
Proc_29 = T	诊断方法 = 786	183	419	4.428	3.819	0.169	0.155	4.259
Proc_5 = T	诊断方法 = V65	155	397	4.196	3.778	0.159	0.19	4.037
Proc_90 = T	诊断方法 = V58	167	295	3.118	3.729	0.116	0.247	3.001
Proc_88 = T	诊断方法 = 510	104	194	2.05	3.608	0.074	0.47	1.976
Proc_74 = T	诊断方法 = 707	2	139	1.469	3.597	0.053	0.76	1.416
Proc_84 = T	诊断方法 = V53	138	224	2.367	3.571	0.085	0.418	2.283
Proc_89 = T	诊断方法 = V65	157	397	4.196	3.526	0.148	0.119	4.048
Proc_29 = T	诊断方法 = 346	33	114	1.205	3.509	0.042	0.142	1.163
Proc_89 = T	诊断方法 = 346	34	114	1.205	3.509	0.042	0.118	1.163
Proc_33 = T	诊断方法 = 729	18	115	1.215	3.478	0.042	0.149	1.173
Proc_5 = T	诊断方法 = 729	21	115	1.215	3.478	0.042	0.175	1.173
Proc_90 = T	诊断方法 = 296	56	147	1.554	3.401	0.053	0.225	1.501
Proc_23 = T	诊断方法 = 296	57	147	1.554	3.401	0.053	0.203	1.501
Proc_13 = T	诊断方法 = V58	163	295	3.118	3.39	0.106	0.769	3.012
Proc_88 = T	诊断方法 = V53	139	224	2.367	3.125	0.074	0.407	2.293
Proc_23 = T	诊断方法 = V65	154	397	4.196	3.023	0.127	0.18	4.069
Proc_74 = T	诊断方法 = V99	89	201	2.124	2.985	0.063	0.63	2.061
Proc_5 = T	诊断方法 = V99	95	201	2.124	2.985	0.063	0.15	2.061
Proc_29 = T	诊断方法 = V99	96	201	2.124	2.985	0.063	0.121	2.061
Proc_88 = T	诊断方法 = 786	178	419	4.428	2.864	0.127	0.373	4.301
Proc_22 = T	诊断方法 = 304	63	178	1.881	2.809	0.053	0.818	1.828
Proc_90 = T	诊断方法 = V65	153	397	4.196	2.771	0.116	0.183	4.079
Proc_18 = T	诊断方法 = 770	202	812	8.582	2.709	0.233	0.939	8.349
Proc_74 = T	诊断方法 = V72	206	565	5.971	2.655	0.159	0.561	5.813
Proc_84 = T	诊断方法 = 346	27	114	1.205	2.632	0.032	0.308	1.173
Proc_88 = T	诊断方法 = 346	28	114	1.205	2.632	0.032	0.343	1.173
Proc_13 = T	诊断方法 = 789	77	152	1.606	2.632	0.042	0.597	1.564
Proc_90 = T	诊断方法 = 729	19	115	1.215	2.609	0.032	0.173	1.184
Proc_23 = T	诊断方法 = 729	20	115	1.215	2.609	0.032	0.156	1.184
Proc_13 = T	诊断方法 = 770	220	812	8.582	2.586	0.222	0.587	8.36
Proc_13 = T	诊断方法 = 510	102	194	2.05	2.577	0.053	0.585	1.997
Proc_90 = T	诊断方法 = 496	130	198	2.093	2.525	0.053	0.167	2.04
Proc_84 = T	诊断方法 = V99	91	201	2.124	2.488	0.053	0.291	2.071
Proc_13 = T	诊断方法 = 250	189	282	2.98	2.482	0.074	0.563	2.906
Proc_84 = T	诊断方法 = V95	221	1,153	12.186	2.428	0.296	0.284	11.89
Proc_18 = T	诊断方法 = V58	160	295	3.118	2.373	0.074	0.822	3.044
Proc_22 = T	诊断方法 = 770	205	812	8.582	2.34	0.201	0.681	8.381
Proc_23 = T	诊断方法 = V41	245	1,648	17.417	2.245	0.391	0.134	17.026
Proc_74 = T	诊断方法 = V53	137	224	2.367	2.232	0.053	0.471	2.315
Proc_22 = T	诊断方法 = 250	187	282	2.98	2.128	0.063	0.619	2.917
Proc_22 = T	诊断方法 = 296	50	147	1.554	2.041	0.032	0.594	1.522
Proc_88 = T	诊断方法 = 496	128	198	2.093	2.02	0.042	0.263	2.05
Proc_23 = T	诊断方法 = 496	131	198	2.093	2.02	0.042	0.121	2.05
Proc_13 = T	诊断方法 = V65	149	397	4.196	2.015	0.085	0.457	4.111
Proc_88 = T	诊断方法 = V65	151	397	4.196	2.015	0.085	0.262	4.111
Proc_33 = T	诊断方法 = V65	152	397	4.196	2.015	0.085	0.086	4.111
Proc_22 = T	诊断方法 = V99	88	201	2.124	1.99	0.042	0.579	2.082
Proc_88 = T	诊断方法 = V99	92	201	2.124	1.99	0.042	0.259	2.082
Proc_74 = T	诊断方法 = 789	76	152	1.606	1.974	0.032	0.417	1.575
Proc_74 = T	诊断方法 = 788	208	1,553	16.413	1.932	0.317	0.408	16.096
Proc_84 = T	诊断方法 = 786	177	419	4.428	1.909	0.085	0.223	4.344
Proc_74 = T	诊断方法 = V65	148	397	4.196	1.763	0.074	0.372	4.122
Proc_29 = T	诊断方法 = V65	156	397	4.196	1.763	0.074	0.072	4.122
Proc_90 = T	诊断方法 = 346	30	114	1.205	1.754	0.021	0.116	1.184
Proc_23 = T	诊断方法 = 346	31	114	1.205	1.754	0.021	0.105	1.184
Proc_84 = T	诊断方法 = 729	16	115	1.215	1.739	0.021	0.203	1.194
Proc_88 = T	诊断方法 = 304	66	178	1.881	1.685	0.032	0.219	1.85
Proc_90 = T	诊断方法 = 304	68	178	1.881	1.685	0.032	0.112	1.85
Proc_74 = T	诊断方法 = 786	175	419	4.428	1.671	0.074	0.353	4.354
Proc_13 = T	诊断方法 = 786	176	419	4.428	1.671	0.074	0.379	4.354
Proc_74 = T	诊断方法 = 401	113	248	2.621	1.613	0.042	0.341	2.579
Proc_18 = T	诊断方法 = 510	100	194	2.05	1.546	0.032	0.536	2.019
Proc_84 = T	诊断方法 = V65	150	397	4.196	1.511	0.063	0.177	4.132
Proc_13 = T	诊断方法 = V99	90	201	2.124	1.493	0.032	0.339	2.093
Proc_90 = T	诊断方法 = V99	94	201	2.124	1.493	0.032	0.099	2.093
Proc_88 = T	诊断方法 = V95	222	1,153	12.186	1.474	0.18	0.192	12.006
Proc_33 = T	诊断方法 = V41	243	1,648	17.417	1.456	0.254	0.062	17.163
Proc_18 = T	诊断方法 = 786	174	419	4.428	1.432	0.063	0.496	4.365
Proc_74 = T	诊断方法 = 250	188	282	2.98	1.418	0.042	0.3	2.938
Proc_5 = T	诊断方法 = V41	246	1,648	17.417	1.396	0.243	0.07	17.174
Proc_90 = T	诊断方法 = V41	244	1,648	17.417	1.335	0.233	0.088	17.185
Proc_74 = T	诊断方法 = 770	207	812	8.582	1.232	0.106	0.26	8.476
Proc_18 = T	诊断方法 = V95	201	1,153	12.186	1.127	0.137	0.391	12.048
Proc_22 = T	诊断方法 = 510	101	194	2.05	1.031	0.021	0.3	2.029
Proc_76 = T	诊断方法 = 496	1	198	2.093	1.01	0.021	3.823	2.071
