后项	前项 	规则 ID	实例	支持度 %	置信度 %
PR_10018313785 = T	PR_10059932355 = T and PR_10017513383 = T and PR_10061032940 = T	52	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10061633122 = T and PR_10017513383 = T	53	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10061633122 = T and PR_10061032940 = T	54	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10017513383 = T and PR_10061032940 = T	55	1	1.786	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061633122 = T	56	1	1.786	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10017513383 = T	57	1	1.786	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061633122 = T	58	1	1.786	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061032940 = T	59	1	1.786	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10017513383 = T	60	1	1.786	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061032940 = T	61	1	1.786	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10061633122 = T and PR_10017513383 = T	62	3	5.357	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10061633122 = T and PR_10061032940 = T	63	3	5.357	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10017513383 = T and PR_10061032940 = T	64	3	5.357	100.0
PR_10061032940 = T	PR_10019114014 = T and PR_10061633122 = T and PR_10017513383 = T	65	4	7.143	100.0
PR_10017513383 = T	PR_10019114014 = T and PR_10061633122 = T and PR_10061032940 = T	66	4	7.143	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061633122 = T and PR_10017513383 = T	67	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061633122 = T and PR_10061032940 = T	68	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10017513383 = T and PR_10061032940 = T	69	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10061633122 = T and PR_10017513383 = T and PR_10061032940 = T	70	1	1.786	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061633122 = T and PR_10017513383 = T	71	1	1.786	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10061633122 = T and PR_10061032940 = T	72	1	1.786	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10019114014 = T and PR_10017513383 = T and PR_10061032940 = T	73	1	1.786	100.0
PR_10061032940 = T	PR_10017513383 = T	9	10	17.857	90.0
